age,fl 
1,31.30081301
1,30.51515152
1,24.48695652
1,39.78125
1,35.10638298
1,25.45454545
1,27.77952756
1,30.76363636
1,28.23214286
1,30.33636364
1,39.86324786
1,38.46846847
1,29.77070064
1,27.31034483
1,35.27559055
1,32.21568627
1,26
1,36.6
1,34.344
1,30.97169811
1,28.73684211
1,27.13138686
1,26.27329193
1,35.82407407
1,25.10493827
1,28.99159664
1,16.33333333
1,27.42857143
1,23.17557252
1,26.92307692
1,25.625
1,25.6640625
1,30
1,46.02816901
1,32.48387097
1,17.96376812
1,35.55555556
1,26.92105263
1,29.46610169
1,20.94890511
1,35.59322034
1,42.29508197
1,30.42622951
1,21.77300613
1,25.28244275
1,26.62337662
1,38.97142857
1,22.88983051
1,33.48453608
1,18.21875
1,39.84615385
1,25.00719424
1,21.9826087
1,34.52212389
1,22.82926829
1,18.57692308
1,41.35813953
1,37.87755102
1,33.79591837
1,27.4295302
1,38.76146789
1,18.05128205
1,36
1,28.99408284
1,38.35
1,35.6442953
1,40.90909091
1,28.83732057
1,29.46405229
1,26.8
1,36.05442177
1,52.88888889
1,25.5
1,40.21111111
1,22.21518987
1,50.81904762
1,23.85875706
1,23.56284153
1,36.1192053
1,32.13636364
1,44.87179487
1,36.81621622
1,39.33333333
1,21.32110092
1,36.96703297
1,38.13380282
1,23.15238095
1,32.26865672
1,29.56989247
1,37.60687023
1,34.69090909
1,45.1835443
1,37.39473684
1,34.89655172
1,30.2392638
1,31.48883375
1,32.05960265
1,35.08108108
1,27.32797858
1,26.47894737
1,38.24675325
1,30.5
1,36.78142077
1,35.4375
1,39.9244186
1,34.18604651
1,33.36170213
1,27.0718232
1,24
1,29.13294798
1,36.4380531
1,40.3862069
1,38.11881188
1,25.73809524
1,51.57575758
1,35.27686703
1,35.27272727
1,31.46666667
1,26.22222222
1,44.43333333
1,38.40909091
1,41.26415094
1,26.13364055
1,42.46078431
1,32.27272727
1,28.45226131
1,28.85207101
1,39.72413793
1,34.22777778
1,17.66442953
1,24.29906542
1,37.45833333
1,22.59210526
1,31.44360902
1,37.00909091
1,29.27884615
1,29.58712121
1,36.04477612
1,24.72254335
1,32.79545455
1,26.15584416
1,44.67625899
1,31.21875
1,34.78125
1,32.52459016
1,40.87591241
1,34.80241327
1,25.15254237
1,24.32307692
1,45.00740741
1,20.37438424
1,40.39285714
1,37.5
1,26.85405405
1,27.71523179
1,31.05232558
1,30.92178771
1,29.38
1,35.82089552
1,16.03671706
1,37.94680851
1,42.96774194
1,41.93370166
1,33.2326284
1,34.66666667
1,29.29230769
1,30.03846154
1,25.56
1,33.1958042
1,29.25
1,28.21276596
1,21.69980507
1,30.77419355
1,27.56097561
1,27.68125
1,45.5989011
1,35.75862069
1,41.07533235
1,40.21764706
1,32.1
1,38.12849162
1,43.4296875
1,28.50877193
1,41.85365854
1,39.9266055
1,27.96992481
1,30.85714286
1,16.47398844
1,31.08695652
1,39.73394495
1,36.48051948
1,41.25
1,21.52355072
1,32.05084746
1,31.65405405
1,53.33333333
1,45.375
1,26.64
1,22.4691358
1,44.70588235
1,34.24761905
1,45.40096618
1,29.66666667
1,30.35856574
1,31.2
1,41.53333333
1,33.40206186
1,25.2
1,30.67005076
1,29.98518519
1,31.43712575
1,30.6375
1,31.29139073
1,35.13157895
1,19.28888889
1,32.86956522
1,20.00649351
1,25.53191489
1,22.60509554
1,29.16201117
1,35.52631579
1,42.36111111
1,23.68103448
1,41.09589041
1,27.84
1,30.25139665
1,23.82733813
1,37.224
1,31.73076923
1,17.37804878
1,27.68831169
1,33.60544218
1,28.97637795
1,25.4245283
1,23.29166667
